Source,Target,Energy,NumTriangles
58,504,9,1
58,790,11,1
59,72,7,1
59,937,15,1
60,177,14,2
60,201,17,1
60,248,13,3
60,378,18,1
60,403,14,1
61,75,10,1
61,390,13,1
62,78,8,4
62,97,11,3
62,112,3,3
62,125,12,1
62,222,13,1
62,313,12,1
62,335,10,1
62,341,9,1
62,347,10,1
62,365,12,1
62,401,11,1
62,418,7,2
62,449,8,1
62,660,7,1
62,801,9,1
62,830,6,1
62,867,15,1
62,881,9,1
62,955,8,1
62,996,8,1
63,99,17,2
63,103,15,1
63,233,18,2
63,235,16,1
63,363,20,1
63,617,15,2
63,685,19,1
63,992,14,1
64,334,9,1
64,423,9,1
64,573,8,1
64,964,15,1
65,111,11,5
65,509,15,1
65,896,18,1
65,931,12,1
65,968,12,1
66,193,18,2
66,211,20,2
66,286,20,4
66,385,19,3
66,408,21,1
66,475,19,1
66,575,16,1
66,626,20,1
66,684,18,1
66,730,21,1
66,845,19,1
67,277,14,4
67,333,13,5
67,376,16,1
67,500,14,1
67,516,12,1
67,578,19,1
67,692,17,1
67,731,14,1
67,1001,14,1
68,132,12,1
68,169,17,2
68,444,11,1
68,555,14,1
68,562,13,1
69,367,12,1
69,369,15,3
69,564,15,1
69,853,16,2
69,872,19,1
69,884,14,1
70,102,15,1
70,160,9,3
70,234,9,3
70,276,12,3
70,278,14,1
70,474,9,1
70,511,9,1
70,592,11,1
70,705,11,1
70,732,18,2
70,784,12,1
70,934,15,1
70,987,10,1
71,173,12,3
71,249,10,1
71,353,15,3
71,406,16,1
71,765,16,1
71,832,12,1
72,100,13,3
72,215,15,3
72,269,8,1
72,349,14,1
72,396,4,1
72,600,8,1
72,984,11,1
73,237,13,2
73,324,14,1
74,113,23,1
74,274,13,1
74,417,17,2
74,453,12,1
74,782,13,1
76,441,15,2
76,532,18,1
77,96,7,4
77,221,10,3
77,256,8,1
77,309,17,1
77,358,11,2
77,416,13,1
77,434,8,1
77,619,11,1
77,622,13,1
77,719,15,1
77,819,12,1
77,871,14,1
77,942,10,1
77,960,12,1
78,112,7,1
78,134,10,2
78,320,14,1
78,401,15,1
78,644,11,1
78,801,13,1
79,194,14,3
79,238,15,2
79,254,16,2
79,422,10,1
79,442,16,1
79,579,11,1
79,650,12,2
79,658,13,1
79,710,11,1
79,824,14,1
79,860,9,1
80,131,14,3
80,727,23,1
80,847,20,1
81,339,17,2
81,549,15,1
81,554,11,1
81,697,11,1
81,743,18,1
81,838,13,1
82,203,8,1
82,293,11,1
82,669,10,1
82,712,6,2
82,722,10,2
82,827,8,1
82,985,5,1
84,192,13,2
84,301,18,2
84,576,14,1
85,92,16,1
86,586,13,1
86,724,14,1
89,379,12,1
89,735,9,1
90,108,13,4
90,239,11,1
90,359,14,1
90,539,10,3
90,642,12,1
90,893,13,1
91,144,20,3
91,507,14,1
91,544,20,1
91,546,13,1
91,588,10,1
91,598,12,1
92,565,8,2
92,693,10,1
92,770,10,1
93,135,12,1
94,202,15,1
94,637,10,1
94,899,9,1
95,195,14,1
95,240,19,2
95,704,13,1
96,241,10,2
96,358,10,1
96,375,11,1
96,416,12,1
96,614,6,2
96,719,14,2
96,862,7,1
96,891,13,1
97,335,17,2
97,347,17,3
97,394,16,1
97,484,16,1
97,723,16,1
97,804,17,1
97,888,14,1
98,272,14,1
99,233,17,2
99,518,18,1
100,396,13,1
100,527,18,2
100,887,23,1
100,984,20,1
102,127,14,1
