Source,Target,Energy,NumTriangles
131,137,3,2
131,165,13,1
131,264,11,2
131,309,15,2
131,521,12,2
131,795,11,1
132,436,14,1
132,476,10,2
132,780,14,1
133,161,9,2
133,164,8,2
133,201,11,1
133,449,9,1
134,627,20,1
135,140,16,2
135,162,14,2
135,383,20,2
135,487,15,2
135,702,11,2
135,745,14,1
135,831,15,1
136,228,15,1
136,711,18,1
137,142,6,2
137,264,10,2
137,386,5,1
137,399,8,1
138,409,20,1
138,555,16,1
139,221,16,2
139,311,16,1
139,319,21,2
139,812,23,1
140,162,14,2
140,171,13,2
140,211,16,2
140,242,14,2
140,280,16,1
140,468,18,1
141,145,7,2
141,247,11,2
141,248,7,2
141,250,6,2
141,255,10,2
141,388,10,1
141,581,9,2
141,956,9,1
142,321,16,1
142,386,9,2
142,733,12,1
143,170,16,1
143,355,10,2
143,390,15,2
143,425,12,1
144,253,20,1
145,248,8,1
145,789,12,2
145,935,10,1
146,199,11,2
146,233,15,2
146,337,15,2
146,540,11,1
147,474,11,2
147,798,13,1
147,830,11,2
147,909,13,1
149,218,16,1
149,712,14,1
150,174,6,2
150,235,10,2
150,375,11,2
150,479,12,1
150,703,10,2
150,708,7,2
150,861,7,1
151,166,11,2
151,180,14,2
151,234,9,2
151,421,17,2
151,426,9,2
151,491,16,1
151,969,7,1
152,155,15,1
152,176,18,2
152,881,18,1
153,307,19,2
153,591,11,2
153,667,10,1
154,210,15,2
154,503,15,2
154,556,12,1
154,604,16,2
154,620,14,1
156,265,13,2
156,271,10,2
156,385,13,1
156,828,13,1
157,168,12,2
157,270,11,2
157,730,16,1
157,945,11,1
158,167,19,2
158,191,17,1
158,261,15,2
158,312,20,2
158,618,12,1
159,387,21,1
160,222,15,2
160,551,9,1
161,164,11,2
161,239,10,2
161,371,13,2
161,901,19,1
161,957,9,1
162,171,11,2
162,185,10,1
162,383,18,1
163,179,11,2
163,303,12,2
163,329,9,1
163,411,15,2
163,853,13,1
164,201,13,2
164,239,9,2
164,254,14,2
164,256,9,2
164,276,12,2
164,286,13,2
164,348,13,2
164,400,14,2
164,407,15,1
164,662,9,2
164,767,13,1
165,565,15,2
165,721,16,2
165,906,14,1
166,234,10,2
166,269,12,2
166,278,15,1
166,410,10,2
166,534,13,1
167,191,22,2
167,316,23,1
168,560,12,1
168,730,14,1
169,340,17,1
169,709,19,1
171,185,9,2
171,198,11,1
171,211,13,2
171,213,12,1
172,189,20,1
172,246,15,2
172,961,23,1
173,184,8,1
173,391,13,2
173,494,9,2
173,683,12,1
174,623,12,1
174,703,10,1
175,181,18,1
176,881,14,2
176,939,19,1
176,980,14,1
177,192,10,1
178,314,7,2
178,563,10,2
178,713,13,1
179,411,14,1
180,193,15,2
180,335,17,2
180,637,13,1
180,969,11,1
181,259,12,2
181,489,15,1
182,754,13,1
182,990,17,1
183,226,9,2
183,257,11,2
183,475,14,2
183,557,17,2
183,720,18,1
183,978,13,1
184,272,7,2
184,341,8,2
184,347,9,2
184,501,7,1
185,198,10,2
185,993,9,1
186,216,18,1
186,582,13,2
186,694,12,1
187,195,8,1
187,252,5,2
187,324,9,1
188,464,18,2
188,472,19,1
188,670,15,1
190,241,10,2
190,301,13,2
190,320,11,2
190,379,9,1
190,427,10,2
190,450,7,2
190,664,11,1
191,316,21,1
192,528,11,1
193,335,14,2
193,378,15,2
193,424,12,2
193,488,9,1
193,597,16,1
194,249,12,2
194,517,17,1
194,634,13,1
195,833,10,1
196,299,15,2
196,496,13,1
196,668,14,1
197,327,17,2
197,377,20,1
197,595,21,2
197,777,15,2
197,826,14,1
198,993,11,1
199,233,14,2
199,403,10,2
199,429,11,2
199,877,14,1
200,230,10,1
200,310,15,2
200,349,17,2
200,353,15,2
200,401,14,2
200,542,13,2
200,632,13,1
201,400,17,1
202,232,15,2
202,275,14,2
202,295,16,1
204,245,8,2
204,251,18,2
204,258,14,2
204,305,10,2
204,448,11,2
204,465,10,1
204,876,10,1
205,343,17,1
205,714,22,1
206,297,15,2
206,376,15,1
206,811,12,1
207,243,15,1
208,223,14,2
208,224,15,2
208,358,13,1
208,418,11,2
208,879,15,1
209,977,12,1
210,544,20,1
210,604,13,2
210,659,14,2
210,671,10,2
210,735,9,1
211,213,15,1
211,242,14,1
212,240,16,2
212,323,12,2
212,408,15,2
212,477,10,2
212,533,14,2
212,619,13,1
214,502,15,1
216,354,18,1
217,267,12,1
217,895,5,1
218,579,11,2
218,790,14,1
219,471,19,1
220,599,12,2
220,771,13,1
221,311,12,2
221,453,11,2
221,458,11,1
221,481,15,1
222,306,17,2
222,359,18,2
222,396,13,2
222,551,16,1
222,661,16,1
223,279,17,2
223,358,15,2
223,493,13,1
223,522,15,1
224,237,14,2
224,318,17,2
224,406,20,2
224,418,14,1
224,624,18,1
225,336,14,2
225,368,16,1
225,753,8,1
226,257,6,2
226,799,8,2
226,899,5,1
227,397,16,1
228,373,16,2
228,605,14,2
228,805,11,1
229,428,16,2
229,718,15,2
229,964,21,1
230,322,10,2
230,492,9,2
230,594,16,1
231,652,15,2
231,796,15,1
232,275,11,2
232,288,15,2
232,885,12,1
233,337,18,2
233,403,14,1
233,647,17,2
233,947,13,1
234,269,10,2
234,416,13,1
234,421,16,2
234,514,11,2
234,682,16,2
234,930,9,1
235,266,18,2
235,375,15,2
235,504,12,2
235,750,15,1
235,760,12,2
235,769,17,1
236,629,18,1
237,273,13,1
237,318,13,1
238,483,12,2
238,655,13,2
238,749,13,1
238,804,16,1
239,254,13,2
239,580,11,1
239,901,17,1
240,323,16,2
240,394,17,2
240,422,13,1
240,438,15,2
240,728,18,2
240,803,20,1
241,301,17,1
241,361,14,1
242,280,14,2
242,282,14,2
242,434,10,1
243,344,15,1
244,726,21,1
245,251,16,2
245,263,8,2
245,285,11,1
245,374,14,1
246,334,9,2
246,920,12,1
246,961,16,1
247,250,11,1
247,289,12,2
247,663,14,2
247,835,16,1
248,255,11,2
248,509,10,1
249,313,15,2
249,500,12,1
249,634,11,2
249,764,12,2
249,979,7,1
250,581,9,2
250,608,5,2
250,736,4,2
250,741,12,1
251,258,22,1
251,374,24,2
251,615,24,1
252,324,8,2
252,350,4,1
252,616,9,1
254,256,13,2
254,402,20,2
254,516,14,2
254,580,16,2
254,631,19,1
254,840,17,1
255,388,14,1
255,509,13,1
256,276,11,2
256,402,15,2
256,413,11,1
256,511,8,1
257,475,11,1
257,799,10,2
257,905,13,1
258,305,14,1
259,283,16,1
259,489,11,1
260,460,21,1
261,312,21,1
261,841,23,1
262,412,14,2
262,548,15,1
262,562,13,2
262,679,16,1
263,285,13,2
263,871,15,2
263,923,12,2
263,989,16,1
264,309,22,2
264,399,16,2
264,564,15,2
264,575,13,1
264,762,14,1
265,330,15,2
265,357,14,1
265,828,14,1
266,760,16,1
267,924,14,1
268,370,14,1
268,415,13,2
268,532,14,2
268,578,19,1
269,278,15,2
269,416,15,1
269,657,13,2
269,809,16,1
270,455,11,1
270,945,8,1
271,385,11,2
271,420,8,1
271,463,13,2
271,933,13,1
272,341,13,1
272,345,15,1
275,288,14,2
275,295,12,2
275,381,9,1
275,592,11,1
276,286,15,2
276,437,15,1
276,511,11,2
276,626,15,1
277,291,12,2
277,331,12,2
277,641,14,2
277,781,13,1
277,975,17,1
278,657,16,2
278,823,13,1
279,298,16,2
279,522,16,2
279,539,12,1
279,554,11,2
279,942,15,1
280,282,16,2
280,466,14,2
280,724,17,1
281,287,8,2
281,484,12,2
281,518,15,2
281,546,12,1
281,742,11,1
282,434,12,2
282,466,14,2
282,698,13,2
282,759,16,1
282,907,16,1
283,950,19,1
284,696,8,2
284,960,13,1
285,871,18,1
286,348,16,2
286,364,22,1
286,437,16,1
287,431,9,1
287,518,13,2
287,967,14,1
288,592,15,1
288,885,15,1
289,294,10,2
289,342,10,1
289,663,10,2
289,926,11,2
289,981,10,1
290,339,15,1
290,568,12,2
290,685,17,2
290,918,12,1
291,331,10,2
291,382,12,2
291,576,11,1
291,761,14,1
292,356,15,1
292,756,12,2
292,844,14,1
293,843,22,1
294,342,12,1
295,381,11,1
296,451,14,2
296,530,17,1
296,684,14,1
297,325,14,2
297,376,18,2
297,384,15,1
297,837,13,1
298,417,17,2
298,430,15,2
298,543,15,2
298,554,9,1
298,598,13,1
299,496,16,2
299,596,15,1
299,692,19,1
301,320,18,2
301,328,16,1
302,485,13,1
303,329,9,2
303,351,15,1
303,523,20,1
304,441,13,2
304,497,17,1
304,689,19,2
304,929,16,1
305,876,10,1
306,359,13,2
306,445,10,2
306,614,9,1
306,731,13,1
307,360,22,1
307,591,16,2
307,658,18,1
308,508,14,1
309,521,23,1
309,762,18,2
309,988,20,1
310,349,22,1
310,688,16,2
310,801,17,1
311,481,15,2
311,642,11,1
312,618,18,1
313,500,17,1
313,611,16,2
313,612,13,1
314,365,13,1
314,563,9,1
315,362,17,1
315,419,20,1
317,751,11,1
318,406,19,1
319,812,24,1
320,328,14,1
320,427,15,2
320,447,15,1
321,461,19,2
321,719,22,1
322,338,7,2
322,492,9,2
322,510,15,1
322,638,14,1
323,394,13,1
323,408,15,2
323,538,16,2
323,541,15,2
323,765,17,1
324,350,8,2
324,710,10,1
325,444,9,1
325,837,9,1
326,414,11,2
326,442,14,2
326,482,10,1
326,561,12,1
327,398,12,2
327,595,20,1
327,784,15,1
329,523,17,1
330,357,15,2
330,537,15,2
330,727,19,1
330,845,15,2
330,937,18,1
331,382,12,1
331,781,11,1
333,404,12,2
333,423,11,2
333,435,12,1
333,535,12,2
333,693,12,2
333,782,12,1
334,920,13,2
334,952,12,1
335,378,17,1
335,637,12,2
335,651,15,1
336,753,12,1
336,902,14,1
337,540,14,2
337,647,17,1
337,896,18,1
338,638,11,2
338,704,6,1
338,808,4,1
339,625,11,1
341,347,15,2
341,531,12,1
344,547,11,2
344,832,13,2
344,872,16,1
345,690,18,1
346,363,16,1
346,787,8,1
347,501,14,2
347,531,13,2
347,819,16,1
347,884,13,1
348,364,22,1
348,407,18,2
348,457,14,1
349,353,22,1
350,710,6,2
350,723,9,2
350,931,5,1
351,443,15,1
352,763,15,1
353,401,19,1
354,389,16,2
354,691,12,1
355,390,13,2
355,392,8,2
355,395,10,2
355,432,9,2
355,552,10,1
355,577,11,1
356,954,20,1
357,845,14,1
358,493,12,2
358,550,13,1
359,396,9,2
359,731,14,1
359,824,14,1
360,405,20,2
360,635,15,1
361,462,12,1
362,372,12,2
362,519,10,1
363,770,17,2
363,996,17,1
365,367,13,2
365,621,17,2
365,827,17,2
365,847,18,1
367,621,10,2
367,968,6,1
369,478,9,2
369,587,18,1
370,526,11,2
370,536,12,2
370,934,17,1
371,957,10,2
371,992,12,1
372,519,12,1
372,566,17,1
373,605,18,1
373,904,14,1
374,615,22,1
375,479,17,1
375,504,13,1
376,384,15,1
378,424,15,2
378,609,12,2
378,738,16,1
379,467,15,1
380,680,8,1
382,576,13,1
383,487,19,1
385,463,16,1
386,733,11,2
386,1001,11,1
387,588,16,2
387,633,21,2
387,716,22,1
389,691,12,1
390,395,15,2
390,425,15,2
390,529,14,1
390,567,16,1
391,439,16,1
391,494,8,1
392,577,11,1
393,507,11,1
394,422,10,2
394,893,13,2
394,984,16,1
395,432,11,2
395,567,13,2
395,613,14,2
395,675,14,1
395,862,10,1
396,661,7,1
396,824,9,1
